timestamp,precipitation (mm),relativehumidity AVG (-),temperature AVG (degrees Celsius),temperature MAX (degrees Celsius),temperature MIN (degrees Celsius),label
2022-10-17 11:00,0.0,0.7135555555555554,24.555555555555557,24.666666666666668,24.433333333333337,-1
2022-10-17 12:00,0.0,0.7162777777777777,24.8,25.066666666666663,24.53333333333333,-1
2022-10-17 13:00,0.0,0.72275,25.194444444444446,25.46666666666667,24.9,-1
2022-10-17 14:00,0.0,0.7519722222222223,24.683333333333337,25.066666666666663,24.166666666666668,-1
2022-10-17 15:00,0.0,0.8166388888888888,23.308333333333337,24.066666666666663,22.666666666666668,-1
2022-10-17 16:00,0.0,0.8604722222222222,22.005555555555556,22.633333333333336,21.6,-1
2022-10-17 17:00,0.0,0.8878611111111113,21.602777777777774,21.8,21.46666666666667,-1
2022-10-17 18:00,0.0,0.8844444444444445,21.758333333333336,22.0,21.53333333333333,-1
2022-10-17 19:00,0.0,0.8788333333333332,21.641666666666666,22.0,21.266666666666666,-1
2022-10-17 20:00,0.0,0.9136388888888888,20.930555555555554,21.333333333333332,20.533333333333335,-1
2022-10-17 21:00,0.0,0.9345555555555556,20.188888888888886,20.500000000000004,19.833333333333332,-1
2022-10-17 22:00,0.0,0.9400833333333332,20.225,20.433333333333337,19.933333333333337,-1
2022-10-17 23:00,0.0,0.9414166666666666,20.35,20.5,20.166666666666664,-1
2022-10-18 00:00,0.0,0.9426666666666668,20.436111111111103,20.6,20.266666666666666,-1
2022-10-18 01:00,0.0,0.935472222222222,20.441666666666663,20.6,20.3,-1
2022-10-18 02:00,0.0,0.9366111111111112,20.305555555555557,20.5,20.166666666666668,-1
2022-10-18 03:00,0.0,0.9329444444444444,20.14444444444444,20.3,20.0,-1
2022-10-18 04:00,0.0,0.9251388888888888,20.508333333333333,20.8,20.233333333333334,-1
2022-10-18 05:00,0.0,0.8925833333333335,21.36388888888889,21.833333333333332,20.833333333333332,-1
2022-10-18 06:00,0.7036666666666668,0.8925555555555557,21.29722222222222,21.766666666666666,20.666666666666668,-1
2022-10-18 07:00,0.408,0.9417777777777776,20.725,21.233333333333334,20.4,-1
2022-10-18 08:00,0.0,0.9186666666666669,22.363888888888884,23.766666666666666,21.3,-1
2022-10-18 09:00,0.0,0.7920833333333333,25.369444444444444,26.46666666666667,24.066666666666663,-1
2022-10-18 10:00,0.0,0.712888888888889,27.130555555555556,27.733333333333334,26.5,-1
2022-10-18 11:00,0.0,0.6995277777777776,26.969444444444445,27.8,25.833333333333332,-1
2022-10-18 12:00,5.5360000000000005,0.9136944444444444,20.375,25.266666666666666,17.866666666666664,-1
2022-10-18 13:00,2.416666666666667,0.9753611111111112,17.883333333333336,18.133333333333333,17.666666666666668,-1
